Velocity_ms,Permeability_k,Thickness_m,PressureDrop_Pa,Safe_Limit
2.0,1e-09,0.01,361.99999999999994,False
2.0,1e-09,0.01,361.99999999999994,False
2.0,1e-09,0.01,361.99999999999994,False
2.0,1e-09,0.01,361.99999999999994,False
2.0,1e-09,0.01,361.99999999999994,False
2.0,1e-09,0.01,361.99999999999994,False
2.0,1e-09,0.01,361.99999999999994,False
2.0,1e-09,0.01,361.99999999999994,False
2.0,1e-09,0.01,361.99999999999994,False
2.0,1e-09,0.01,361.99999999999994,False
2.0,5e-09,0.01,72.39999999999999,False
2.0,5e-09,0.01,72.39999999999999,False
2.0,5e-09,0.01,72.39999999999999,False
2.0,5e-09,0.01,72.39999999999999,False
2.0,5e-09,0.01,72.39999999999999,False
2.0,5e-09,0.01,72.39999999999999,False
2.0,5e-09,0.01,72.39999999999999,False
2.0,5e-09,0.01,72.39999999999999,False
2.0,5e-09,0.01,72.39999999999999,False
2.0,5e-09,0.01,72.39999999999999,False
2.0,1e-08,0.01,36.199999999999996,True
2.0,1e-08,0.01,36.199999999999996,True
2.0,1e-08,0.01,36.199999999999996,True
2.0,1e-08,0.01,36.199999999999996,True
2.0,1e-08,0.01,36.199999999999996,True
2.0,1e-08,0.01,36.199999999999996,True
2.0,1e-08,0.01,36.199999999999996,True
2.0,1e-08,0.01,36.199999999999996,True
2.0,1e-08,0.01,36.199999999999996,True
2.0,1e-08,0.01,36.199999999999996,True
2.5,1e-09,0.01,452.5,False
2.5,1e-09,0.01,452.5,False
2.5,1e-09,0.01,452.5,False
2.5,1e-09,0.01,452.5,False
2.5,1e-09,0.01,452.5,False
2.5,1e-09,0.01,452.5,False
2.5,1e-09,0.01,452.5,False
2.5,1e-09,0.01,452.5,False
2.5,1e-09,0.01,452.5,False
2.5,1e-09,0.01,452.5,False
2.5,5e-09,0.01,90.5,False
2.5,5e-09,0.01,90.5,False
2.5,5e-09,0.01,90.5,False
2.5,5e-09,0.01,90.5,False
2.5,5e-09,0.01,90.5,False
2.5,5e-09,0.01,90.5,False
2.5,5e-09,0.01,90.5,False
2.5,5e-09,0.01,90.5,False
2.5,5e-09,0.01,90.5,False
2.5,5e-09,0.01,90.5,False
2.5,1e-08,0.01,45.25,True
2.5,1e-08,0.01,45.25,True
2.5,1e-08,0.01,45.25,True
2.5,1e-08,0.01,45.25,True
2.5,1e-08,0.01,45.25,True
2.5,1e-08,0.01,45.25,True
2.5,1e-08,0.01,45.25,True
2.5,1e-08,0.01,45.25,True
2.5,1e-08,0.01,45.25,True
2.5,1e-08,0.01,45.25,True
3.0,1e-09,0.01,542.9999999999999,False
3.0,1e-09,0.01,542.9999999999999,False
3.0,1e-09,0.01,542.9999999999999,False
3.0,1e-09,0.01,542.9999999999999,False
3.0,1e-09,0.01,542.9999999999999,False
3.0,1e-09,0.01,542.9999999999999,False
3.0,1e-09,0.01,542.9999999999999,False
3.0,1e-09,0.01,542.9999999999999,False
3.0,1e-09,0.01,542.9999999999999,False
3.0,1e-09,0.01,542.9999999999999,False
3.0,5e-09,0.01,108.59999999999998,False
3.0,5e-09,0.01,108.59999999999998,False
3.0,5e-09,0.01,108.59999999999998,False
3.0,5e-09,0.01,108.59999999999998,False
3.0,5e-09,0.01,108.59999999999998,False
3.0,5e-09,0.01,108.59999999999998,False
3.0,5e-09,0.01,108.59999999999998,False
3.0,5e-09,0.01,108.59999999999998,False
3.0,5e-09,0.01,108.59999999999998,False
3.0,5e-09,0.01,108.59999999999998,False
3.0,1e-08,0.01,54.29999999999999,False
3.0,1e-08,0.01,54.29999999999999,False
3.0,1e-08,0.01,54.29999999999999,False
3.0,1e-08,0.01,54.29999999999999,False
3.0,1e-08,0.01,54.29999999999999,False
3.0,1e-08,0.01,54.29999999999999,False
3.0,1e-08,0.01,54.29999999999999,False
3.0,1e-08,0.01,54.29999999999999,False
3.0,1e-08,0.01,54.29999999999999,False
3.0,1e-08,0.01,54.29999999999999,False
