Thickness_m,Fiber_Curvature,Air_Velocity_ms,Pressure_Drop_Pa,Efficiency_Percentage,Safety_Status
0.001,0.1,2.5,4.0658296802301095,97.93068419830824,PASS
0.001,0.2,2.5,3.8468246677504254,97.9750142013844,PASS
0.001,0.30000000000000004,2.5,4.501224474057466,97.99902272410888,PASS
0.001,0.4,2.5,4.77926722453924,98.00596061079217,PASS
0.001,0.5,2.5,5.030073851596043,98.00465635688003,PASS
0.001,0.6,2.5,5.544559410738586,98.0030219528532,PASS
0.001,0.7000000000000001,2.5,5.850880166653894,98.00358534974852,PASS
0.001,0.8,2.5,5.865705165341112,98.0032176104341,PASS
0.001,0.9,2.5,7.361030121290781,97.99614050046229,PASS
0.002,0.1,2.5,6.584810835584378,97.95529322486509,PASS
0.002,0.2,2.5,6.719935100983662,97.98794013290676,PASS
0.002,0.30000000000000004,2.5,7.634639377273544,98.00333655634365,PASS
0.002,0.4,2.5,8.149520649137898,98.00591203993866,PASS
0.002,0.5,2.5,8.709199953735151,98.00360838397955,PASS
0.002,0.6,2.5,9.674906153255023,98.00260350498294,PASS
0.002,0.7000000000000001,2.5,10.572119895853646,98.00406678502242,PASS
0.002,0.8,2.5,11.214853512102067,98.00432041282498,PASS
0.002,0.9,2.5,13.187043889124297,97.99757767786068,PASS
0.003,0.1,2.5,9.309798309775886,97.97426895224157,PASS
0.003,0.2,2.5,9.788985470293511,97.99694975820995,PASS
0.003,0.30000000000000004,2.5,10.959697015337326,98.0054567561966,PASS
0.003,0.4,2.5,11.710663888344342,98.00495694439788,PASS
0.003,0.5,2.5,12.576054718953813,98.00234295720507,PASS
0.003,0.6,2.5,13.987198883285032,98.00216532683838,PASS
0.003,0.7000000000000001,2.5,15.476376118832789,98.00446525503561,PASS
0.003,0.8,2.5,16.766807975076432,98.00521838704128,PASS
0.003,0.9,2.5,19.255868753047338,97.99873440283321,PASS
0.004,0.1,2.5,12.20817664462406,97.98821884958869,PASS
0.004,0.2,2.5,13.019231763242132,98.00262498895424,PASS
0.004,0.30000000000000004,2.5,14.440837902897584,98.00585396118645,PASS
0.004,0.4,2.5,15.427058413237205,98.00341310908426,PASS
0.004,0.5,2.5,16.594730778789682,98.00103574244116,PASS
0.004,0.6,2.5,18.444140106010863,98.00178548213472,PASS
0.004,0.7000000000000001,2.5,20.523547981746972,98.00481077151127,PASS
0.004,0.8,2.5,22.47811989107055,98.00592774118847,PASS
0.004,0.9,2.5,25.522006546630152,97.99962750496597,PASS
0.005,0.1,2.5,15.24856559726453,97.99780890822957,PASS
0.005,0.2,2.5,16.377587537337064,98.00556775285862,PASS
0.005,0.30000000000000004,2.5,18.04445403236403,98.00498800427047,PASS
0.005,0.4,2.5,19.265308514773466,98.00157162450876,PASS
0.005,0.5,2.5,20.73197309746277,97.99983447356588,PASS
0.005,0.6,2.5,23.011581916594196,98.00152176909485,PASS
0.005,0.7000000000000001,2.5,25.677061006151874,98.00512286964069,PASS
0.005,0.8,2.5,28.30886972963158,98.00646172908029,PASS
0.005,0.9,2.5,31.94300437452776,98.00027489723857,PASS
0.006,0.1,2.5,18.40139722928592,98.003737006619,PASS
0.006,0.2,2.5,19.833222754119916,98.00637733658367,PASS
0.006,0.30000000000000004,2.5,21.73948749962244,98.00329164148191,PASS
0.006,0.4,2.5,23.194844313126097,97.99968739933776,PASS
0.006,0.5,2.5,24.95774267996707,97.99885486625597,PASS
0.006,0.6,2.5,27.659084052299335,98.0014108332709,PASS
0.006,0.7000000000000001,2.5,30.90444795199093,98.0054109393443,PASS
0.006,0.8,2.5,34.22329792001486,98.00683101108521,PASS
0.006,0.9,2.5,38.48013874317439,98.00069556732123,PASS
0.007,0.1,2.5,21.639406336923912,98.00670687157248,PASS
0.007,0.2,2.5,23.358062361542125,98.0056293093495,PASS
0.007,0.30000000000000004,2.5,25.497918783034805,98.00115640743365,PASS
0.007,0.4,2.5,27.1883833614594,97.9979717984149,PASS
0.007,0.5,2.5,29.245643418341857,97.99817822927822,PASS
0.007,0.6,2.5,32.3603167314936,98.00146837873226,PASS
0.007,0.7000000000000001,2.5,36.17775998717808,98.00567511729477,PASS
0.007,0.8,2.5,40.19026347377586,98.00704421642153,PASS
0.007,0.9,2.5,45.09894114865736,98.00090958985967,PASS
0.008,0.1,2.5,24.938022794514268,98.00740365003179,PASS
0.008,0.2,2.5,26.92717319364307,98.003856839636,PASS
0.008,0.30000000000000004,2.5,29.295133658546433,97.99892113369722,PASS
0.008,0.4,2.5,31.222260606312503,97.9965876709978,PASS
0.008,0.5,2.5,33.57320286390731,97.99785083975186,PASS
0.008,0.6,2.5,37.09329998375733,98.00169044056715,PASS
0.008,0.7000000000000001,2.5,41.47380014820065,98.00590767686596,PASS
0.008,0.8,2.5,46.18352169533692,98.00710866048531,PASS
0.008,0.9,2.5,51.76955497254312,98.0009381400576,FAIL
0.009000000000000001,0.1,2.5,28.27565830464961,98.00647200081744,PASS
0.009000000000000001,0.2,2.5,30.519032186884147,98.00153508414225,PASS
0.009000000000000001,0.30000000000000004,2.5,33.11016255732362,97.99686352625781,PASS
0.009000000000000001,0.4,2.5,35.27662173893715,97.99564691247228,PASS
0.009000000000000001,0.5,2.5,37.92200361339383,97.99788505918814,PASS
0.009000000000000001,0.6,2.5,41.84047782244292,98.00205562643856,PASS
0.009000000000000001,0.7000000000000001,2.5,46.774178330960225,98.00609482578976,PASS
0.009000000000000001,0.8,2.5,52.1818196781723,98.00703116093952,FAIL
0.009000000000000001,0.9,2.5,58.46692045049197,98.00080348746296,FAIL
0.010000000000000002,0.1,2.5,31.63388418315793,98.00449747123542,PASS
0.010000000000000002,0.2,2.5,34.11567353804905,97.99906916522266,PASS
0.010000000000000002,0.30000000000000004,2.5,36.92579116674048,97.99519504206913,PASS
0.010000000000000002,0.4,2.5,39.33548038163791,97.99521057523248,PASS
0.010000000000000002,0.5,2.5,42.277667989773605,97.99826207899523,PASS
0.010000000000000002,0.6,2.5,46.58863230134894,98.00252818460142,PASS
0.010000000000000002,0.7000000000000001,2.5,52.06519431365743,98.00621879884012,FAIL
0.010000000000000002,0.8,2.5,58.168815696010725,98.00681888982577,FAIL
0.010000000000000002,0.9,2.5,65.17079143710927,98.00052894913185,FAIL
0.011,0.1,2.5,34.99750097349575,98.00199174692831,PASS
0.011,0.2,2.5,37.702717046207624,97.99678606891034,PASS
0.011,0.30000000000000004,2.5,40.72854602026972,97.99405913943924,PASS
0.011,0.4,2.5,43.386644860001766,97.99529141759892,PASS
0.011,0.5,2.5,46.629704515945264,97.99893610239114,PASS
0.011,0.6,2.5,51.328648928979604,98.00306171319747,FAIL
0.011,0.7000000000000001,2.5,57.337562253809,98.00626011670224,FAIL
0.011,0.8,2.5,64.13283567743453,98.00648019635477,FAIL
0.011,0.9,2.5,71.86559437352119,98.00013878333395,FAIL
0.012,0.1,2.5,38.35450470081399,97.9993821644173,PASS
0.012,0.2,2.5,41.26928428788216,97.99493060015921,PASS
0.012,0.30000000000000004,2.5,44.508563498218805,97.99353281136945,PASS
0.012,0.4,2.5,47.42152527880789,97.995858660377,PASS
0.012,0.5,2.5,50.97123005821349,97.99983969879155,FAIL
0.012,0.6,2.5,56.05515079306409,98.0036032932501,FAIL
0.012,0.7000000000000001,2.5,62.585996399382736,98.00619987335072,FAIL
